"Station", "Date", "Time", "X", "Y", "Z"
CREU,2010-01-01,0:0:0,4715420.541,273177.511,4271946.426
CRNA,2010-01-01,0:0:0,4795404.736,-102253.987,4190965.545
CSOS,2010-01-01,0:0:0,4709302.447,39916.595,4288333.994
CUEN,2010-01-01,0:0:0,4884861.445,-182506.499,4084819.255
DENI,2010-01-01,0:0:0,4974895.876,9000.745,3978089.674
EBRE,2010-01-01,0:0:0,4833520.365,41536.828,4147461.288
EIVI,2010-01-01,0:0:0,4965341.118,121946.087,3988187.575
EJEA,2010-01-01,0:0:0,4736994.004,-93430.609,4256243.952
ELCI,2010-01-01,0:0:0,4704010.533,-215109.208,4288289.344
ELGE,2010-01-01,0:0:0,4657557.748,-202242.015,4338991.466
EMAZ,2010-01-01,0:0:0,4645924.557,-276950.409,4347759.161
ESCO,2010-01-01,0:0:0,4696265.179,79978.224,4304244.749
ESTE,2010-01-01,0:0:0,4695724.094,-165983.158,4299460.714
FORM,2010-01-01,0:0:0,4982380.085,124271.531,3966899.838
FRAG,2010-01-01,0:0:0,4783341.492,27062.594,4205079.440
FRRL,2010-01-01,0:0:0,4587906.814,-672424.927,4364929.380
FUDE,2010-01-01,0:0:0,4645300.467,-390541.372,4341266.541
GERN,2010-01-01,0:0:0,4642811.676,-217223.468,4353278.463
GIRO,2010-01-01,0:0:0,4738101.819,236301.871,4249110.803
GRA1,2010-01-01,0:0:0,5077918.012,-319155.707,3834700.935
GRAU,2010-01-01,0:0:0,4733035.048,28146.974,4261728.122
GRSL,2010-01-01,0:0:0,4621834.103,-557429.165,4346271.558
GUDI,2010-01-01,0:0:0,4706776.485,-588343.890,4251196.012
GUIJ,2010-01-01,0:0:0,4830459.726,-480250.149,4124995.176
HERR,2010-01-01,0:0:0,4931778.811,-435814.393,4008253.356
HOND,2010-01-01,0:0:0,4640529.678,-145676.527,4358781.339
HUE1,2010-01-01,0:0:0,5055038.937,-605792.441,3829116.563
HUEL,2010-01-01,0:0:0,5049613.133,-612885.685,3835143.844
HUOV,2010-01-01,0:0:0,5070413.830,-171935.004,3853104.529
IBIZ,2010-01-01,0:0:0,4967979.688,125662.813,3984692.538
ICOL,2010-01-01,0:0:0,4899669.821,58552.786,4069403.164
IEJA,2010-01-01,0:0:0,4855889.222,-34414.069,4123414.859
IGEL,2010-01-01,0:0:0,4645951.795,-165575.045,4352550.007
IGNE,2010-01-01,0:0:0,4851137.668,-314518.703,4116282.022
ISPS,2010-01-01,0:0:0,4640596.842,-206964.318,4356391.499
JACA,2010-01-01,0:0:0,4704765.678,-59661.065,4292726.518
JERE,2010-01-01,0:0:0,4975837.706,-591521.376,3933687.668
JUMA,2010-01-01,0:0:0,4997066.078,-115637.464,3949588.971
JUMI,2010-01-01,0:0:0,4999149.212,-115817.555,3946872.594
KAST,2010-01-01,0:0:0,4646949.439,-240747.822,4348014.576
LANT,2010-01-01,0:0:0,4687496.353,-244091.420,4304688.916
LARE,2010-01-01,0:0:0,4632832.304,-279026.677,4360314.014
LAZK,2010-01-01,0:0:0,4666098.706,-178186.737,4330463.260
LEBR,2010-01-01,0:0:0,5076496.268,-540901.731,3810560.724
LEIT,2010-01-01,0:0:0,4663521.293,-155859.264,4334519.462
LENA,2010-01-01,0:0:0,4636819.804,-473022.074,4339899.785
LEON,2010-01-01,0:0:0,4680871.375,-463168.407,4294606.551
LERM,2010-01-01,0:0:0,4735507.635,-310945.300,4248423.621
LLER,2010-01-01,0:0:0,4989172.952,-525326.361,3926553.064
LNGS,2010-01-01,0:0:0,4594268.406,-689086.513,4355620.345
LOSA,2010-01-01,0:0:0,4701480.991,-180216.821,4292617.299
LUAR,2010-01-01,0:0:0,4600350.420,-526430.079,4371859.071
LUGO,2010-01-01,0:0:0,4632372.436,-613539.248,4327264.449
MAD1,2010-01-01,0:0:0,4854006.864,-312714.685,4112992.003
MAL1,2010-01-01,0:0:0,4918778.931,226582.590,4040490.915
MALA,2010-01-01,0:0:0,5103282.404,-392096.808,3793146.864
